date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:52:02	140970/140970	---M-Z	200	added ('OK')	text/html	etag:%22b19c9738e50687c5730eb3962df1493a%22	https://functional-reassurance-910678.framer.app/	E:/Art/website/functional-reassurance-910678.framer.app/index.html	(from )
23:52:02	113/113	---M-Z	200	added ('OK')	text/plain	etag:%2230adb8871f962a788a3bf3007a50cac0%22	https://functional-reassurance-910678.framer.app/robots.txt		(from )
23:52:02	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Jun%202025%2021:52:03%20GMT	https://functional-reassurance-910678.framer.app/artdomi.xyz	E:/Art/website/functional-reassurance-910678.framer.app/artdomi.0.delayed	(from https://functional-reassurance-910678.framer.app/)
23:52:03	223/223	---M--	200	added ('OK')	image/png	etag:%22810193ede98443698ba6b54575e9cf3c%22	https://framerusercontent.com/sites/icons/default-favicon-light.v1.png	E:/Art/website/framerusercontent.com/sites/icons/default-favicon-light.v1.png	(from https://functional-reassurance-910678.framer.app/)
23:52:03	227/227	---M--	200	added ('OK')	image/png	etag:%22e44c40138d977deec13c54928aec692d%22	https://framerusercontent.com/sites/icons/default-favicon-dark.v1.png	E:/Art/website/framerusercontent.com/sites/icons/default-favicon-dark.v1.png	(from https://functional-reassurance-910678.framer.app/)
23:52:03	8598/8598	---M--	200	added ('OK')	image/png	etag:%2218abb0c2b2ff01a1658d805c5dd98278%22	https://framerusercontent.com/sites/icons/default-touch-icon.v3.png	E:/Art/website/framerusercontent.com/sites/icons/default-touch-icon.v3.png	(from https://functional-reassurance-910678.framer.app/)
23:52:04	3619/3619	---MC-	200	added ('OK')	image/png	etag:%22534d609ffa99b5cdb5b475c47c3cc985%22	https://framerusercontent.com/images/fyZ08X9Ep9pXbalSXF0SD8mR3SE.png	E:/Art/website/framerusercontent.com/images/fyZ08X9Ep9pXbalSXF0SD8mR3SE.png	(from https://functional-reassurance-910678.framer.app/)
23:52:04	4334/4334	---MC-	200	added ('OK')	image/png	etag:%2283efac632710ae0da231a178d9fe62b3%22	https://framerusercontent.com/images/SamCv6KSny7SP1ExMMDbv2jwuk.png	E:/Art/website/framerusercontent.com/images/SamCv6KSny7SP1ExMMDbv2jwuk.png	(from https://functional-reassurance-910678.framer.app/)
23:52:04	2217/2217	---MC-	200	added ('OK')	image/png	etag:%228c90b720cf89925ae02c0cf8c36f5876%22	https://framerusercontent.com/images/zBeZWEOwXUsKPpJ8onlA2F4o.png	E:/Art/website/framerusercontent.com/images/zBeZWEOwXUsKPpJ8onlA2F4o.png	(from https://functional-reassurance-910678.framer.app/)
23:52:04	2735/2735	---MC-	200	added ('OK')	image/png	etag:%22b52f957d19ccf74b78bc90b70f067fa2%22	https://framerusercontent.com/images/LJCvST6zLHA5ni0vC5dSnO3sso.png	E:/Art/website/framerusercontent.com/images/LJCvST6zLHA5ni0vC5dSnO3sso.png	(from https://functional-reassurance-910678.framer.app/)
